row,gene_name,Disease involvement,Ensembl,Evidence,Gene,Gene synonym,Subcellular additional location,Subcellular main location
D6RFI0,SFXN1,None,ENSG00000164466,Evidence at protein level,SFXN1,"[u'FLJ12876', u'SLC56A1']",None,[u'Mitochondria']
Q7Z695,ADCK2,None,ENSG00000133597,Evidence at protein level,ADCK2,[u'MGC20727'],None,"[u'Centrosome', u'Cytosol']"
Q6ZRQ5,MMS22L,None,ENSG00000146263,Evidence at protein level,MMS22L,"[u'C6orf167', u'dJ39B17.2']",None,[u'Nucleoplasm']
Q9NR45,NANS,"[u'Disease variant', u'Dwarfism', u'Mental retardation']",ENSG00000095380,Evidence at protein level,NANS,[u'SAS'],None,[u'Nucleoplasm']
P51668,UBE2D1,None,ENSG00000072401,Evidence at protein level,UBE2D1,"[u'E2(17)KB1', u'SFT', u'UBC4/5', u'UBCH5', u'UbcH5A']",None,"[u'Plasma membrane', u'Cytosol']"
A0A075B7B4,IKBKE,None,ENSG00000263528,Evidence at protein level,IKBKE,"[u'IKK-i', u'IKKE', u'KIAA0151']",None,[u'Cytosol']
O43182,ARHGAP6,None,ENSG00000047648,Evidence at protein level,ARHGAP6,[u'rhoGAPX-1'],None,[u'Cytosol']
Q9UKV5,AMFR,None,ENSG00000159461,Evidence at protein level,AMFR,"[u'gp78', u'RNF45']",None,"[u'Endoplasmic reticulum', u'Golgi apparatus']"
E5RHT9,ENY2,None,ENSG00000120533,Evidence at protein level,ENY2,"[u'DC6', u'FLJ20480', u'Sus1']",None,"[u'Nucleoplasm', u'Mitochondria']"
B7ZKQ9,SCARB1,None,ENSG00000073060,Evidence at protein level,SCARB1,"[u'CD36L1', u'CLA-1', u'CLA1', u'SR-BI', u'SRB1']","[u'Lysosomes', u'Rods & Rings']",[u'Vesicles']
A0A0G2JNK5,TSEN34,"[u'Disease variant', u'Neurodegeneration', u'Pontocerebellar hypoplasia']",ENSG00000170892,Evidence at protein level,TSEN34,"[u'LENG5', u'SEN34', u'SEN34L']",None,[u'Nucleoplasm']
P13667,PDIA4,None,ENSG00000155660,Evidence at protein level,PDIA4,"[u'ERP70', u'ERP72']",None,[u'Endoplasmic reticulum']
Q71UM5,RPS27L,None,ENSG00000185088,Evidence at protein level,RPS27L,[],[u'Nucleoli'],"[u'Endoplasmic reticulum', u'Cytosol']"
Q8IUC6,TICAM1,[u'Disease variant'],ENSG00000127666,Evidence at protein level,TICAM1,"[u'MGC35334', u'PRVTIRB', u'TICAM-1', u'TRIF']",[u'Plasma membrane'],"[u'Nucleoplasm', u'Nucleoli']"
Q68D06,SLFN13,None,ENSG00000154760,Evidence at protein level,SLFN13,[u'FLJ31952'],None,[u'Cytokinetic bridge']
Q68DC0,DKFZp781B1423,,,,,,,
E7EQI7,WASHC5,"[u'Disease variant', u'Hereditary spastic paraplegia', u'Mental retardation', u'Neurodegeneration']",ENSG00000164961,Evidence at protein level,WASHC5,"[u'KIAA0196', u'SPG8']",None,[u'Nucleoplasm']
E9PGM4,GBE1,"[u'Disease variant', u'Glycogen storage disease', u'Neuropathy']",ENSG00000114480,Evidence at protein level,GBE1,[],None,[u'Cytosol']
P13236,CCL4,[u'Cancer-related genes'],ENSG00000275302,Evidence at protein level,CCL4,"[u'Act-2', u'AT744.1', u'LAG1', u'MIP-1-beta', u'SCYA4']",None,None
A0A0J9YYL3,PUF60,[u'Disease variant'],ENSG00000179950,Evidence at protein level,PUF60,"[u'FIR', u'RoBPI', u'SIAHBP1']",None,[u'Nucleoplasm']
Q9BVA0,KATNB1,"[u'Disease variant', u'Lissencephaly']",ENSG00000140854,Evidence at protein level,KATNB1,[],[u'Microtubules'],"[u'Plasma membrane', u'Cytosol']"
Q5I0G2,PRL,[u'Cancer-related genes'],ENSG00000172179,Evidence at protein level,PRL,[],None,None
Q8N3P4,VPS8,None,ENSG00000156931,Evidence at protein level,VPS8,"[u'FLJ32099', u'KIAA0804']",[u'Plasma membrane'],[u'Cytosol']
Q7L1T6,CYB5R4,None,ENSG00000065615,Evidence at protein level,CYB5R4,"[u'b5+b5R', u'dJ676J13.1', u'NCB5OR']",None,None
Q8TF40,FNIP1,None,ENSG00000217128,Evidence at protein level,FNIP1,[u'KIAA1961'],None,None
Q9HBE1,PATZ1,"[u'Cancer-related genes', u'Proto-oncogene']",ENSG00000100105,Evidence at protein level,PATZ1,"[u'dJ400N23', u'MAZR', u'PATZ', u'RIAZ', u'ZBTB19', u'ZNF278', u'ZSG']",None,[u'Nucleoplasm']
Q8TF46,DIS3L,None,ENSG00000166938,Evidence at protein level,DIS3L,"[u'DIS3L1', u'FLJ38088', u'KIAA1955', u'MGC4562']",[u'Centrosome'],"[u'Plasma membrane', u'Cytosol']"
O00463,TRAF5,None,ENSG00000082512,Evidence at protein level,TRAF5,[u'RNF84'],[u'Centrosome'],[u'Cytosol']
H0YL99,MRPS11,None,ENSG00000181991,Evidence at protein level,MRPS11,"[u'FLJ22512', u'FLJ23406', u'HCC-2']",None,[u'Mitochondria']
Q13105,ZBTB17,None,ENSG00000116809,Evidence at protein level,ZBTB17,"[u'MIZ1', u'pHZ-67', u'ZNF151', u'ZNF60']",None,None
Q9Y2I1,NISCH,[u'FDA approved drug targets'],ENSG00000010322,Evidence at protein level,NISCH,"[u'I-1', u'IRAS', u'KIAA0975']","[u'Vesicles', u'Microtubules', u'Cytokinetic bridge']","[u'Nucleoplasm', u'Cytosol']"
O15165,LDLRAD4,None,ENSG00000168675,Evidence at protein level,LDLRAD4,[u'C18orf1'],None,[u'Vesicles']
Q9NQZ2,UTP3,None,ENSG00000132467,Evidence at protein level,UTP3,"[u'CRLZ1', u'DKFZp761F222', u'FLJ23256', u'SAS10']",[u'Vesicles'],[u'Nucleoli']
P60510,PPP4C,None,ENSG00000149923,Evidence at protein level,PPP4C,"[u'PP4', u'PPX']","[u'Plasma membrane', u'Cytosol']",[u'Nucleoplasm']
Q9NRD5,PICK1,None,ENSG00000100151,Evidence at protein level,PICK1,"[u'dJ1039K5', u'MGC15204', u'PRKCABP']",None,[u'Cytosol']
Q07666,KHDRBS1,None,ENSG00000121774,Evidence at protein level,KHDRBS1,"[u'FLJ34027', u'p62', u'Sam68']",None,[u'Nucleoplasm']
P17858,PFKL,None,ENSG00000141959,Evidence at protein level,PFKL,[],None,"[u'Nucleoli', u'Mitochondria']"
Q96ER9,CCDC51,[u'FDA approved drug targets'],ENSG00000164051,Evidence at protein level,CCDC51,[u'FLJ12436'],[u'Centrosome'],"[u'Nucleoplasm', u'Mitochondria']"
Q13596,SNX1,None,ENSG00000028528,Evidence at protein level,SNX1,"[u'HsT17379', u'MGC8664', u'SNX1A', u'Vps5']",None,"[u'Endosomes', u'Lysosomes']"
Q9BUK0,CHCHD7,[u'Cancer-related genes'],ENSG00000170791,Evidence at protein level,CHCHD7,"[u'COX23', u'MGC2217']",[u'Aggresome'],[u'Cell Junctions']
Q5T1V6,DDX59,"[u'Ciliopathy', u'Disease variant']",ENSG00000118197,Evidence at protein level,DDX59,"[u'DKFZP564B1023', u'ZNHIT5']",None,"[u'Nucleoplasm', u'Actin filaments']"
Q9P021,CRIPT,"[u'Disease variant', u'Dwarfism']",ENSG00000119878,Evidence at protein level,CRIPT,[u'HSPC139'],None,"[u'Nucleoplasm', u'Nucleoli fibrillar center']"
E9PRH5,ZNF692,None,ENSG00000171163,Evidence at protein level,ZNF692,"[u'AREBP', u'FLJ20531', u'Zfp692']",None,"[u'Nucleoplasm', u'Nucleoli']"
Q8TBB0,THAP6,None,ENSG00000174796,Evidence at protein level,THAP6,[u'MGC30052'],[u'Nucleoplasm'],[u'Centrosome']
Q9Y316,MEMO1,None,ENSG00000162959,Evidence at protein level,MEMO1,"[u'C2orf4', u'CGI-27', u'MEMO']",None,[u'Vesicles']
Q76I76-2,SSH2,None,ENSG00000141298,Evidence at protein level,SSH2,[u'KIAA1725'],None,None
Q9Y4E8,USP15,None,ENSG00000135655,Evidence at protein level,USP15,"[u'KIAA0529', u'UNPH4']","[u'Nucleoplasm', u'Nuclear bodies']",[u'Cytosol']
Q9BRL7-2,SEC22C,None,ENSG00000093183,Evidence at protein level,SEC22C,"[u'MGC13261', u'MGC5373', u'SEC22L3']",[u'Nucleoplasm'],[u'Golgi apparatus']
C9JYA1,NUPL2,None,ENSG00000136243,Evidence at protein level,NUP42,"[u'CG1', u'H_RG271G13.9', u'hCG1', u'NLP_1', u'NUPL2']",None,[u'Nucleoplasm']
Q6P0Q8,MAST2,[u'Cancer-related genes'],ENSG00000086015,Evidence at protein level,MAST2,"[u'KIAA0807', u'MAST205']",None,[u'Cytosol']
O43513,MED7,None,ENSG00000155868,Evidence at protein level,MED7,"[u'CRSP33', u'CRSP9']",None,[u'Nuclear bodies']
O95243,MBD4,[u'Cancer-related genes'],ENSG00000129071,Evidence at protein level,MBD4,[u'MED1'],None,[u'Nuclear speckles']
Q5J8M3,EMC4,None,ENSG00000128463,Evidence at protein level,EMC4,"[u'FLJ90746', u'MGC24415', u'PIG17', u'TMEM85']",None,None
Q86W34,AMZ2,None,ENSG00000196704,Evidence at protein level,AMZ2,[],"[u'Nuclear bodies', u'Cytosol']",[u'Nucleoplasm']
Q9UJA5,TRMT6,None,ENSG00000089195,Evidence at protein level,TRMT6,"[u'CGI-09', u'GCD10', u'Gcd10p', u'MGC5029']",[u'Cell Junctions'],[u'Nucleoplasm']
Q8N6H7,ARFGAP2,None,ENSG00000149182,Evidence at protein level,ARFGAP2,"[u'FLJ14576', u'IRZ', u'Zfp289', u'ZNF289']",None,[u'Golgi apparatus']
P06756,ITGAV,"[u'Cancer-related genes', u'FDA approved drug targets']",ENSG00000138448,Evidence at protein level,ITGAV,"[u'CD51', u'MSK8', u'VNRA', u'VTNR']",None,"[u'Focal adhesion sites', u'Cytosol']"
P18146,EGR1,[u'Cancer-related genes'],ENSG00000120738,Evidence at protein level,EGR1,"[u'AT225', u'G0S30', u'KROX-24', u'NGFI-A', u'TIS8', u'ZIF-268', u'ZNF225']",None,[u'Nucleoplasm']
O00409,FOXN3,None,ENSG00000053254,Evidence at protein level,FOXN3,"[u'C14orf116', u'CHES1']",[u'Plasma membrane'],[u'Nucleoplasm']
E9PJZ4,MED17,"[u'Cancer-related genes', u'Disease variant']",ENSG00000042429,Evidence at protein level,MED17,"[u'CRSP6', u'CRSP77', u'DRIP80', u'SRB4', u'TRAP80']",[u'Cytosol'],[u'Nuclear speckles']
P09629,HOXB7,None,ENSG00000260027,Evidence at protein level,HOXB7,"[u'HOX2', u'HOX2C']",[u'Cytosol'],"[u'Nucleoplasm', u'Nuclear bodies']"
Q9Y2Y4,ZBTB32,None,ENSG00000011590,Evidence at protein level,ZBTB32,"[u'FAXF', u'FAZF', u'Rog', u'TZFP', u'ZNF538']",None,None
P56381,ATP5E,"[u'Disease variant', u'Primary mitochondrial disease']",ENSG00000124172,Evidence at protein level,ATP5F1E,[u'ATP5E'],None,None
H3BU09,SIAH1,None,ENSG00000196470,Evidence at protein level,SIAH1,[u'hSIAH1'],[u'Nucleoplasm'],[u'Mitochondria']
Q8IZD2-6,KMT2E,"[u'Disease variant', u'Mental retardation']",ENSG00000005483,Evidence at protein level,KMT2E,"[u'HDCMC04P', u'MLL5']",[u'Nuclear bodies'],[u'Nucleoplasm']
Q9NUT2,ABCB8,None,ENSG00000197150,Evidence at protein level,ABCB8,"[u'EST328128', u'M-ABC1', u'MABC1', u'MITOSUR']",[u'Nucleoplasm'],[u'Mitochondria']
I3L1A4,NFKBIB,None,ENSG00000104825,Evidence at protein level,NFKBIB,"[u'IKBB', u'TRIP9']",[u'Cytosol'],[u'Nucleoplasm']
Q96SI9,STRBP,None,ENSG00000165209,Evidence at protein level,STRBP,"[u'FLJ11307', u'ILF3L', u'SPNR']",None,None
Q8IYU8,MICU2,None,ENSG00000165487,Evidence at protein level,MICU2,[u'EFHA1'],[u'Mitochondria'],[u'Nucleoplasm']
P51826-2,AFF3,[u'Cancer-related genes'],ENSG00000144218,Evidence at protein level,AFF3,"[u'LAF4', u'MLLT2-like']",[u'Cytosol'],[u'Nucleoplasm']
O75821,EIF3G,None,ENSG00000130811,Evidence at protein level,EIF3G,"[u'eIF3-delta', u'eIF3-p44', u'EIF3S4']",None,[u'Cytosol']
Q9BXS4,TMEM59,None,ENSG00000116209,Evidence at protein level,TMEM59,"[u'C1orf8', u'HSPC001']",None,None
Q9H4A6,GOLPH3,None,ENSG00000113384,Evidence at protein level,GOLPH3,"[u'GOPP1', u'GPP34', u'MIDAS', u'Vps74']",None,"[u'Golgi apparatus', u'Vesicles']"
Q9C0B5,ZDHHC5,None,ENSG00000156599,Evidence at protein level,ZDHHC5,"[u'DHHC5', u'KIAA1748', u'ZNF375']",[u'Nucleoplasm'],[u'Plasma membrane']
Q13615,MTMR3,None,ENSG00000100330,Evidence at protein level,MTMR3,"[u'FYVE-DSP1', u'KIAA0371', u'ZFYVE10']",[u'Cytosol'],[u'Nucleoplasm']
H0Y6F5,ZHX3,None,ENSG00000174306,Evidence at protein level,ZHX3,"[u'KIAA0395', u'TIX1']",None,[u'Nucleoplasm']
Q9BRQ8,AIFM2,None,ENSG00000042286,Evidence at protein level,AIFM2,"[u'AMID', u'FLJ14497', u'PRG3']","[u'Plasma membrane', u'Cytosol']",[u'Vesicles']
Q9H814,PHAX,None,ENSG00000164902,Evidence at protein level,PHAX,"[u'FLJ13193', u'RNUXA']",None,[u'Nucleoplasm']
Q9BSM1,PCGF1,None,ENSG00000115289,Evidence at protein level,PCGF1,"[u'MGC10882', u'NSPC1', u'RNF68']",None,[u'Nucleoplasm']
Q99828,CIB1,None,ENSG00000185043,Evidence at protein level,CIB1,"[u'CIB', u'KIP', u'SIP2-28']",None,"[u'Nucleoplasm', u'Plasma membrane']"
Q8WXE1,ATRIP,None,ENSG00000164053,Evidence at protein level,ATRIP,"[u'FLJ12343', u'MGC20625', u'MGC21482', u'MGC26740']",None,[u'Nucleoplasm']
Q7Z5L2,R3HCC1L,None,ENSG00000166024,Evidence at protein level,R3HCC1L,"[u'C10orf28', u'GIDRP86', u'PSORT']",None,"[u'Nucleoplasm', u'Nuclear speckles']"
O43772,SLC25A20,[u'Disease variant'],ENSG00000178537,Evidence at protein level,SLC25A20,"[u'CAC', u'CACT']",None,"[u'Mitochondria', u'Cytosol']"
P50440,GATM,[u'Disease variant'],ENSG00000171766,Evidence at protein level,GATM,[u'AGAT'],None,[u'Mitochondria']
Q96EU6,RRP36,None,ENSG00000124541,Evidence at protein level,RRP36,"[u'C6orf153', u'dJ20C7.4']",None,"[u'Nucleoplasm', u'Nucleoli']"
P20930,FLG,"[u'Cancer-related genes', u'Ichthyosis']",ENSG00000143631,Evidence at protein level,FLG,[],None,[u'Cytoplasmic bodies']
B9EGE7,ZNF507,None,ENSG00000168813,Evidence at protein level,ZNF507,"[u'KIAA1084', u'Zfp507']",[u'Cytosol'],[u'Nucleoli']
P30536,TSPO,"[u'Cancer-related genes', u'FDA approved drug targets']",ENSG00000100300,Evidence at protein level,TSPO,"[u'BZRP', u'DBI', u'IBP', u'MBR', u'mDRC', u'PBR', u'pk18', u'PKBS']","[u'Vesicles', u'Cytosol']",[u'Mitochondria']
P31689,DNAJA1,None,ENSG00000086061,Evidence at protein level,DNAJA1,"[u'dj-2', u'hdj-2', u'HSJ2', u'HSPF4', u'NEDD7']",[u'Microtubules'],[u'Cytosol']
Q8NFG4,FLCN,"[u'Cancer-related genes', u'Disease variant', u'Tumor suppressor']",ENSG00000154803,Evidence at protein level,FLCN,"[u'BHD', u'DENND8B', u'MGC17998', u'MGC23445']",[u'Plasma membrane'],[u'Cytosol']
H0YL62,KATNBL1,None,ENSG00000134152,Evidence at protein level,KATNBL1,"[u'C15orf29', u'FLJ22557']","[u'Nucleoplasm', u'Cleavage furrow']","[u'Midbody', u'Mitotic spindle']"
Q30134,HLA-DRB1,None,ENSG00000196126,Evidence at protein level,HLA-DRB1,[u'HLA-DR1B'],None,None
Q86WB0,ZC3HC1,None,ENSG00000091732,Evidence at protein level,ZC3HC1,[u'NIPA'],None,"[u'Nucleoplasm', u'Nuclear membrane']"
Q8N1G1,REXO1,None,ENSG00000079313,Evidence at protein level,REXO1,"[u'EloA-BP1', u'KIAA1138', u'TCEB3BP1']",[u'Nuclear bodies'],[u'Nucleoplasm']
O00398,P2RY10,None,ENSG00000078589,Evidence at protein level,P2RY10,[u'P2Y10'],None,None
P23743,DGKA,None,ENSG00000065357,Evidence at protein level,DGKA,"[u'DAGK', u'DAGK1', u'DGK-alpha']","[u'Nucleoplasm', u'Mitochondria']",[u'Vesicles']
P42336,PIK3CA,"[u'Cancer-related genes', u'Disease variant', u'Proto-oncogene']",ENSG00000121879,Evidence at protein level,PIK3CA,[u'PI3K'],[u'Mitochondria'],[u'Cytosol']
Q9H7P9,PLEKHG2,"[u'Disease variant', u'Leukodystrophy', u'Mental retardation', u'Tumor suppressor']",ENSG00000090924,Evidence at protein level,PLEKHG2,"[u'ARHGEF42', u'CLG', u'FLJ00018']",[u'Cytosol'],[u'Nucleoplasm']
Q86UP3-5,ZFHX4,None,ENSG00000091656,Evidence at protein level,ZFHX4,"[u'FLJ20980', u'ZFH4']",None,"[u'Nucleoplasm', u'Nucleoli fibrillar center']"
P04844,RPN2,None,ENSG00000118705,Evidence at protein level,RPN2,"[u'RIBIIR', u'RPN-II', u'RPNII', u'SWP1']",None,[u'Endoplasmic reticulum']
Q13523,PRPF4B,None,ENSG00000112739,Evidence at protein level,PRPF4B,"[u'KIAA0536', u'PR4H', u'Prp4']",None,[u'Nuclear speckles']
F2Z393,TALDO1,[u'Disease variant'],ENSG00000177156,Evidence at protein level,TALDO1,[],[u'Cytosol'],[u'Nucleoplasm']
G3V419,MLH3,"[u'Disease variant', u'Hereditary nonpolyposis colorectal cancer']",ENSG00000119684,Evidence at protein level,MLH3,[],None,[u'Nucleoplasm']
P22059,OSBP,None,ENSG00000110048,Evidence at protein level,OSBP,[u'OSBP1'],"[u'Nucleoplasm', u'Cytosol']",[u'Golgi apparatus']
O43808,SLC25A17,None,ENSG00000100372,Evidence at protein level,SLC25A17,[u'PMP34'],None,[u'Peroxisomes']
C9JDR0,NSDHL,"[u'Disease variant', u'Ichthyosis', u'Mental retardation']",ENSG00000147383,Evidence at protein level,NSDHL,"[u'H105e3', u'SDR31E1', u'XAP104']",[u'Lipid droplets'],[u'Endoplasmic reticulum']
Q9UMS4,PRPF19,None,ENSG00000110107,Evidence at protein level,PRPF19,"[u'hPSO4', u'NMP200', u'PRP19', u'PSO4', u'SNEV', u'UBOX4']",None,[u'Nuclear speckles']
Q9ULU4,ZMYND8,None,ENSG00000101040,Evidence at protein level,ZMYND8,"[u'PRKCBP1', u'RACK7']",[u'Golgi apparatus'],[u'Nucleoplasm']
O60271,SPAG9,None,ENSG00000008294,Evidence at protein level,SPAG9,"[u'CT89', u'FLJ13450', u'FLJ14006', u'FLJ26141', u'FLJ34602', u'HLC4', u'HSS', u'JIP-4', u'JIP4', u'JLP', u'KIAA0516', u'MGC117291', u'MGC14967', u'MGC74461', u'PHET', u'PIG6', u'SYD1']",None,"[u'Centriolar satellite', u'Cytosol']"
Q13303-3,KCNAB2,None,ENSG00000069424,Evidence at protein level,KCNAB2,"[u'AKR6A5', u'HKvbeta2.1', u'HKvbeta2.2', u'KCNA2B']",None,None
A0A087WT67,ZNF195,None,ENSG00000005801,Evidence at protein level,ZNF195,[],[u'Cytosol'],[u'Nucleoplasm']
Q9UBS3,DNAJB9,None,ENSG00000128590,Evidence at protein level,DNAJB9,[u'MDG1'],None,"[u'Endoplasmic reticulum', u'Cytosol']"
E7EVJ3,NDST1,"[u'Disease variant', u'Mental retardation']",ENSG00000070614,Evidence at protein level,NDST1,"[u'HSST', u'NST1']",None,None
Q9NRD1,FBXO6,[u'Cancer-related genes'],ENSG00000116663,Evidence at protein level,FBXO6,"[u'FBG2', u'FBS2', u'FBX6', u'Fbx6b']",None,None
Q9UHA3,RSL24D1,None,ENSG00000137876,Evidence at protein level,RSL24D1,"[u'C15orf15', u'HRP-L30-iso', u'L30', u'RPL24', u'RPL24L']",None,"[u'Nucleoplasm', u'Nucleoli', u'Nucleoli rim']"
O15254,ACOX3,None,ENSG00000087008,Evidence at protein level,ACOX3,[],None,[u'Peroxisomes']
A0A087WV05,,None,ENSG00000121410,Evidence at protein level,A1BG,[],None,None
A2RRP1,NBAS,"[u'Disease variant', u'Dwarfism']",ENSG00000151779,Evidence at protein level,NBAS,[u'NAG'],"[u'Nuclear membrane', u'Nucleoli']",[u'Golgi apparatus']
Q14679,TTLL4,None,ENSG00000135912,Evidence at protein level,TTLL4,[u'KIAA0173'],None,[u'Mitochondria']
P04921,GYPC,None,ENSG00000136732,Evidence at protein level,GYPC,"[u'CD236', u'CD236R', u'Ge', u'GPC', u'GYPD']",None,[u'Plasma membrane']
H0YBY3,GM2A,"[u'Disease variant', u'Gangliosidosis']",ENSG00000196743,Evidence at protein level,GM2A,[u'SAP-3'],None,"[u'Vesicles', u'Cytosol']"
B9A025,LOXL3,"[u'Deafness', u'Stickler syndrome']",ENSG00000115318,Evidence at protein level,LOXL3,[],None,None
Q8IYS1,PM20D2,None,ENSG00000146281,Evidence at protein level,PM20D2,"[u'ACY1L2', u'bA63L7.3']",None,[u'Nucleoplasm']
P28066,PSMA5,None,ENSG00000143106,Evidence at protein level,PSMA5,[u'ZETA'],None,[u'Cytosol']
O75351,VPS4B,None,ENSG00000119541,Evidence at protein level,VPS4B,"[u'SKD1', u'SKD1B', u'VPS4-2']",[u'Intermediate filaments'],[u'Vesicles']
Q9NYQ7,CELSR3,None,ENSG00000008300,Evidence at protein level,CELSR3,"[u'ADGRC3', u'CDHF11', u'EGFL1', u'FMI1', u'HFMI1', u'MEGF2']",None,None
Q5SXM2,SNAPC4,None,ENSG00000165684,Evidence at protein level,SNAPC4,"[u'FLJ13451', u'PTFalpha', u'SNAP190']","[u'Nuclear membrane', u'Cytosol']",[u'Nucleoplasm']
Q12983,BNIP3,[u'Cancer-related genes'],ENSG00000176171,Evidence at protein level,BNIP3,[u'Nip3'],None,None
Q9HB09,BCL2L12,None,ENSG00000126453,Evidence at protein level,BCL2L12,[],[u'Plasma membrane'],[u'Vesicles']
Q9Y2G9,SBNO2,None,ENSG00000064932,Evidence at protein level,SBNO2,"[u'FLJ00173', u'KIAA0963', u'Sno', u'Stno']",None,None
P10606,COX5B,None,ENSG00000135940,Evidence at protein level,COX5B,[],None,[u'Mitochondria']
Q9HBR0,SLC38A10,None,ENSG00000157637,Evidence at protein level,SLC38A10,"[u'MGC15523', u'PP1744']",None,[u'Golgi apparatus']
Q9UI43,MRM2,"[u'Disease variant', u'Primary mitochondrial disease']",ENSG00000122687,Evidence at protein level,MRM2,"[u'FJH1', u'FTSJ2', u'RRMJ2']",None,None
Q15042,RAB3GAP1,None,ENSG00000115839,Evidence at protein level,RAB3GAP1,"[u'KIAA0066', u'RAB3GAP', u'RAB3GAP130', u'WARBM1']",[u'Cytosol'],[u'Nucleoplasm']
Q9H0L4,CSTF2T,None,ENSG00000177613,Evidence at protein level,CSTF2T,"[u'CstF-64T', u'DKFZp434C1013', u'KIAA0689', u'tauCstF-64']",[u'Vesicles'],[u'Nucleoplasm']
Q8IWC1,MAP7D3,None,ENSG00000129680,Evidence at protein level,MAP7D3,[u'FLJ12649'],[u'Cytosol'],[u'Centrosome']
P03928,MT-ATP8,"[u'Cardiomyopathy', u'Disease variant', u'Primary mitochondrial disease']",ENSG00000228253,Evidence at protein level,MT-ATP8,"[u'A6L', u'ATP8', u'MTATP8']",None,None
O15111,CHUK,None,ENSG00000213341,Evidence at protein level,CHUK,"[u'IkBKA', u'IKK-alpha', u'IKK1', u'IKKA', u'NFKBIKA', u'TCF16']",[u'Cytosol'],[u'Nucleoplasm']
Q0D2I5,IFFO1,None,ENSG00000010295,Evidence at protein level,IFFO1,"[u'HOM-TES-103', u'IFFO']",None,None
Q9NP31,SH2D2A,None,ENSG00000027869,Evidence at protein level,SH2D2A,"[u'F2771', u'TSAd']",None,None
Q14687,GSE1,None,ENSG00000131149,Evidence at protein level,GSE1,[u'KIAA0182'],[u'Nucleoplasm'],[u'Mitochondria']
Q9NRG9,AAAS,[u'Disease variant'],ENSG00000094914,Evidence at protein level,AAAS,[],"[u'Centrosome', u'Cytosol']",[u'Nuclear membrane']
Q9BXS5,AP1M1,None,ENSG00000072958,Evidence at protein level,AP1M1,"[u'AP47', u'CLAPM2']",None,None
J3QRQ3,DHODH,[u'Disease variant'],ENSG00000102967,Evidence at protein level,DHODH,[],"[u'Nucleoplasm', u'Cytosol']",[u'Mitochondria']
P13682,ZNF35,None,ENSG00000169981,Evidence at protein level,ZNF35,"[u'HF.10', u'HF10', u'Zfp105']",None,[u'Nucleoplasm']
Q9HCC0,MCCC2,[u'Disease variant'],ENSG00000131844,Evidence at protein level,MCCC2,[u'MCCB'],None,[u'Mitochondria']
Q9Y3A2,UTP11,None,ENSG00000183520,Evidence at protein level,UTP11,"[u'CGI-94', u'UTP11L']",None,[u'Nucleoplasm']
P32121-4,ARRB2,None,ENSG00000141480,Evidence at protein level,ARRB2,"[u'ARR2', u'BARR2', u'DKFZp686L0365']","[u'Nucleoplasm', u'Cytosol']",[u'Plasma membrane']
C9JQ16,SNX10,"[u'Disease variant', u'Osteopetrosis']",ENSG00000086300,Evidence at protein level,SNX10,[],[u'Nucleoli'],"[u'Nucleoplasm', u'Microtubules']"
Q8IY22,CMIP,None,ENSG00000153815,Evidence at protein level,CMIP,[],None,"[u'Nucleoplasm', u'Cytosol']"
P16188,HLA-A,[u'Cancer-related genes'],ENSG00000206503,Evidence at protein level,HLA-A,[],[u'Golgi apparatus'],[u'Plasma membrane']
Q8N823,ZNF611,None,ENSG00000213020,Evidence at protein level,ZNF611,[u'MGC5384'],None,None
Q6IQ26,DENND5A,"[u'Disease variant', u'Epilepsy']",ENSG00000184014,Evidence at protein level,DENND5A,"[u'FLJ22354', u'FLJ33829', u'FLJ43455', u'KIAA1091', u'RAB6IP1']",None,"[u'Golgi apparatus', u'Vesicles']"
Q99720,SIGMAR1,"[u'Amyotrophic lateral sclerosis', u'Disease variant', u'FDA approved drug targets', u'Neurodegeneration']",ENSG00000147955,Evidence at protein level,SIGMAR1,"[u'OPRS1', u'SR-BP1']",None,None
Q6P996,PDXDC1,None,ENSG00000179889,Evidence at protein level,PDXDC1,[u'KIAA0251'],None,"[u'Golgi apparatus', u'Vesicles']"
Q9Y274,ST3GAL6,None,ENSG00000064225,Evidence at protein level,ST3GAL6,"[u'SIAT10', u'ST3GALVI']",None,None
G3XAL9,SLC12A2,[u'FDA approved drug targets'],ENSG00000064651,Evidence at protein level,SLC12A2,"[u'BSC', u'BSC2', u'NKCC1', u'PPP1R141']",[u'Plasma membrane'],[u'Vesicles']
Q04206,RELA,"[u'Cancer-related genes', u'Disease variant']",ENSG00000173039,Evidence at protein level,RELA,"[u'NFKB3', u'p65']",None,[u'Cytosol']
Q5EE01,CENPW,None,ENSG00000203760,Evidence at protein level,CENPW,"[u'C6orf173', u'CUG2']",None,[u'Nucleoplasm']
P49356,FNTB,[u'FDA approved drug targets'],ENSG00000257365,Evidence at protein level,FNTB,[u'FPTB'],None,[u'Centrosome']
Q13823,GNL2,None,ENSG00000134697,Evidence at protein level,GNL2,"[u'HUMAUANTIG', u'Ngp-1', u'Nog2', u'Nug2']",None,"[u'Nucleoli', u'Nucleoli rim']"
P30154,PPP2R1B,None,ENSG00000137713,Evidence at protein level,PPP2R1B,"[u'PP2A-Abeta', u'PR65B']",None,"[u'Plasma membrane', u'Cytosol']"
P50991,CCT4,None,ENSG00000115484,Evidence at protein level,CCT4,[u'Cctd'],[u'Nucleoplasm'],[u'Cytosol']
